id,province,district,subdistrict,address,property_type,total_units,bedrooms,baths,floor_area,floor_level,land_area,latitude,longitude,nearby_stations,nearby_bus_stops,nearby_supermarkets,nearby_shops,year_built,month_built,price,price_sqm
10988559,Bangkok,Watthana,Khlong Tan Nuea,Sukhumvit 55,Condo,1098.0,1.0,1.0,33,18.0,,13.7316075514,100.584646842,0,20.0,18.0,20,2022,October,9070000,274848.48484848486
10094960,Bangkok,Pathum Wan,Lumphini,5/2 Ploenchit Road,Condo,138.0,1.0,1.0,33,18.0,,13.735834,100.550698,2,,9.0,20,2016,January,5500000,166666.66666666666
10997562,Samut Prakan,Mueang Samut Prakan,Samrong Nuea,Sukhumvit Road,Condo,1770.0,1.0,1.0,28,15.0,,13.646183,100.595117,1,20.0,16.0,20,2017,March,2800000,100000.0
10380817,Samut Prakan,Mueang Samut Prakan,Pak Nam,Sukhumvit,Condo,1576.0,2.0,1.0,48,21.0,,13.6209747963,100.5900846911,1,19.0,8.0,4,2015,June,3500000,72916.66666666667
10762041,Bangkok,Huai Khwang,Huai Khwang,"195 Rama 9 Road, Soi 5",Condo,1911.0,2.0,2.0,58,18.0,,13.7561782114,100.568285373,3,,14.0,20,2022,April,9478095,163415.43103448275
10887666,Samut Prakan,Mueang Samut Prakan,Samrong Nuea,"Soi Sridan 18, Srinakarin Road",Townhouse,93.0,4.0,3.0,99,2.0,100.0,13.643353,100.637945,0,11.0,9.0,11,2014,,6950000,
10924469,Bangkok,Chatuchak,Lat Yao,(พหลโยธิน-วิภาวดี) แขวงลาดยาว เขตจตุจักร กทม,Condo,448.0,1.0,1.0,31,2.0,,13.857099,100.576844,2,,6.0,3,2018,June,2950000,95161.29032258065
10795155,Nonthaburi,Bang Yai,Sao Thong Hin,Rattanathibet Road,Condo,1013.0,1.0,1.0,24,24.0,,13.875603,100.413584,2,,20.0,20,2018,May,2500000,104166.66666666667
8730546,Bangkok,Phaya Thai,Sam Sen Nai,1377 Phaholyothin Road,Condo,809.0,1.0,1.0,45,39.0,,13.788908,100.545272,2,,14.0,20,2012,September,5400000,120000.0
10824290,Bangkok,Chatuchak,Sena Nikhom,Phaholyothin Road,Condo,229.0,1.0,1.0,25,2.0,,13.8457228689,100.5805871661,2,20.0,7.0,4,2017,,2300000,92000.0
11004680,Samut Prakan,Bang Sao Thong,Sisa Chorakhe Noi,Ladkrabang Road,Townhouse,449.0,3.0,2.0,70,2.0,68.0,13.695525,100.785754,0,,2.0,2,0,,1890000,
9593755,Bangkok,Phaya Thai,Sam Sen Nai,21 Pradiphat Road,Condo,981.0,2.0,1.0,52,18.0,,13.7908705133,100.5460723178,3,,14.0,20,2019,October,8700000,167307.6923076923
10737573,Bangkok,Saphan Sung,Saphan Sung,ถนน กาญจนาภิเษก ถนน ศรีนครินทร์ - ร่มเกล้า,Townhouse,,3.0,4.0,88,2.0,92.0,13.8654263,100.6773403,0,,4.0,3,0,,3800000,
10854825,Bangkok,Sai Mai,O Ngoen,คลองถนน,Townhouse,,3.0,2.0,95,2.0,72.0,13.9023034,100.6432195,0,,6.0,6,0,,3200000,
10988933,Nonthaburi,Bang Kruai,Maha Sawat,สวนผัก 32,Townhouse,,3.0,2.0,130,2.0,84.0,13.8089875,100.4245469,0,,8.0,2,0,,4000000,
7532081,Nonthaburi,Pak Kret,Khlong Kluea,Chaeng Watthana Road,Condo,1231.0,1.0,1.0,26,18.0,,13.897264621,100.5523397718,0,15.0,6.0,8,2013,January,1800000,69230.76923076923
10715206,Bangkok,Din Daeng,Din Daeng,624 Asoke-Dindaeng Road,Condo,543.0,1.0,1.0,34,3.0,,13.7567573,100.559701,3,,8.0,19,2019,October,4150000,122058.82352941176
11008107,Bangkok,Don Mueang,Si Kan,Si Khan,Townhouse,,2.0,2.0,80,2.0,80.0,13.9366625,100.5796406,0,7.0,4.0,1,0,,1850000,
10798751,Bangkok,Nong Khaem,Nong Khang Phlu,Soi Moobaan Taweethong,Townhouse,172.0,3.0,2.0,120,2.0,76.0,13.7188288569,100.3451128289,0,,4.0,3,2009,,1890000,
10939185,Bangkok,Don Mueang,Si Kan,115/98 นาวงประชาพัฒนา 21,Detached House,,3.0,3.0,185,2.0,260.0,13.9508125,100.5687969,0,,6.0,1,0,,6490000,
10981364,Bangkok,Ratchathewi,Makkasan,1088 Phetchaburi Road,Condo,352.0,1.0,1.0,47,32.0,,13.749185,100.543761,3,,17.0,20,2015,March,7290000,155106.3829787234
11028683,Bangkok,Suan Luang,Suan Luang,Srinakarin Road,Condo,1152.0,1.0,1.0,32,5.0,,13.744081,100.644114,1,,5.0,3,2009,March,1390000,43437.5
10627343,Nonthaburi,Pak Kret,Khlong Kluea,Chaeng Watthana Road,Condo,1231.0,1.0,1.0,34,17.0,,13.897264621,100.5523397718,0,15.0,6.0,8,2013,January,2290000,67352.94117647059
11047700,Nonthaburi,Bang Bua Thong,Bang Khu Rat,Soi Moobaan Phrueksa 3,Detached House,46.0,5.0,2.0,100,2.0,36.0,13.9094859889,100.3531281674,0,,4.0,2,0,,2890000,
11008562,Bangkok,Watthana,Phra Khanong Nuea,"36 Soi Sukhumvit 63, Ekamai Road",Condo,273.0,1.0,1.0,47,18.0,,13.7219444078,100.5848502884,2,,16.0,20,2011,June,5600000,119148.93617021276
10848813,Bangkok,Chatuchak,Lat Yao,(พหลโยธิน-วิภาวดี) แขวงลาดยาว เขตจตุจักร กทม,Condo,448.0,1.0,1.0,25,12.0,,13.857099,100.576844,2,,6.0,3,2018,June,2880000,115200.0
11023206,Bangkok,Watthana,Phra Khanong Nuea,2077 Sukhumvit Road,Condo,490.0,1.0,1.0,44,21.0,,13.706225334700001,100.6012631105,1,,7.0,13,2011,April,6000000,136363.63636363635
10997542,Bangkok,Phra Khanong,Bang Chak,Soi Sukhumvit 97,Condo,218.0,1.0,1.0,35,4.0,,13.698067426,100.6068849509,2,,6.0,9,2011,September,2060000,58857.142857142855
11031554,Bangkok,Thon Buri,Bukkhalo,99 Ratchaphruek Road,Condo,268.0,2.0,2.0,77,8.0,,13.717645,100.483624,3,,9.0,20,2011,July,6450000,83766.23376623377
9532011,Nonthaburi,Mueang Nonthaburi,Talat Khwan,ถนน ติวานนท์ 3,Condo,238.0,1.0,1.0,28,3.0,,13.8488323892,100.5126280428,1,,6.0,9,2014,August,1550000,55357.142857142855
10477860,Bangkok,Huai Khwang,Noble Revolve Ratchada,38 Ratchadapisek Road,Condo,802.0,1.0,1.0,26,10.0,,13.763912,100.569344,2,,16.0,20,2017,June,3990000,153461.53846153847
10883610,Bangkok,Bang Phlat,Bang Yi Khan,"Soi Charansanitwong, Sirinthon Road",Condo,560.0,1.0,1.0,25,18.0,,13.7838800572,100.4939085012,1,,13.0,11,2018,March,2490000,99600.0
8682535,Bangkok,Khlong Toei,Phra Khanong,Sukhumvit Road,Condo,837.0,2.0,2.0,54,4.0,,13.7109650149,100.5938943245,2,,17.0,18,2013,December,5200000,96296.29629629629
11028656,Bangkok,Watthana,Khlong Tan Nuea,"18 Soi Sukhumvit 59, Sukhumvit Road",Condo,228.0,1.0,1.0,36,18.0,,13.7243773238,100.5816983386,2,,16.0,20,2009,March,3700000,102777.77777777778
10659807,Bangkok,Min Buri,Saen Saep,สุวินทวงศ์,Detached House,,3.0,3.0,220,2.0,296.0,13.8158125,100.7508125,0,11.0,,3,0,,6200000,
10829062,Nonthaburi,Mueang Nonthaburi,Bang Kraso,678 Rattanathibet Road,Condo,540.0,1.0,1.0,31,7.0,,13.8693817443,100.4897048148,1,,9.0,13,2015,September,1500000,48387.096774193546
10906044,Nonthaburi,Mueang Nonthaburi,Bang Kraso,Rattanathibet Road,Condo,2824.0,1.0,1.0,26,18.0,,13.8636530348,100.5028675423,2,,16.0,11,2016,December,1500000,57692.307692307695
11002007,Bangkok,Lak Si,Thung Song Hong,Thung Song Hong,Townhouse,,3.0,3.0,160,2.0,,13.8873958,100.5689948,0,18.0,3.0,6,0,,3990000,
10385575,Bangkok,Khlong Sam Wa,Bang Chan,รามอินทรา สุเหร่าคลองหนึ่ง,Townhouse,,3.0,2.0,96,2.0,72.0,13.8402137,100.7323332,0,,2.0,3,0,,2490000,
11033066,Nonthaburi,Bang Kruai,Plai Bang,Kanchanapisek Road (Soi Wat Som Kliang-Wat Phraek),Townhouse,450.0,3.0,2.0,110,2.0,88.0,13.813569,100.403827,0,2.0,4.0,5,0,,2490000,
10989171,Bangkok,Khlong Toei,Khlong Tan,"68 Sukhumvit 24 Alley, Khong Tan",Condo,940.0,1.0,1.0,28,8.0,,13.7253952835,100.5656595582,2,,20.0,20,2017,January,6400000,228571.42857142858
10625896,Nonthaburi,Bang Bua Thong,Bang Bua Thong,Bang Bua Thong,Townhouse,,2.0,2.0,110,2.0,64.0,13.9811875,100.3933125,0,,4.0,3,0,,2150000,
11037422,Nonthaburi,Mueang Nonthaburi,Bang Kraso,185 Rattanathibet Road,Condo,1428.0,1.0,1.0,31,15.0,,13.860527,100.508473,2,,9.0,8,2016,June,1950000,62903.22580645161
11033583,Bangkok,Yan Nawa,Chong Nonsi,Chong Nonsi,Detached House,,3.0,3.0,109,3.0,,13.6904375,100.5422344,1,20.0,12.0,20,0,,8100000,
10976441,Bangkok,Khlong Toei,Phra Khanong,Sukhumvit Road,Condo,486.0,2.0,1.0,51,21.0,,13.715134387500001,100.5908126786,2,,19.0,20,2013,January,7500000,147058.82352941178
10889989,Nonthaburi,Bang Bua Thong,Vio Khaerai 2,41/44 R,Condo,122.0,1.0,1.0,37,4.0,,13.8567071172,100.5122486589,2,,11.0,13,2016,April,2850000,77027.02702702703
10554595,Nonthaburi,Pak Kret,Bang Phlap,Ratchaphruek Road,Detached House,300.0,4.0,3.0,180,2.0,228.0,13.9118293971,100.4501047086,0,2.0,6.0,6,2010,,5500000,
10936239,Nonthaburi,Sai Noi,Sai Noi,Bang Kruai-Sai Noi Road,Townhouse,60.0,3.0,2.0,118,2.0,120.0,13.980093353200001,100.3252170306,0,8.0,3.0,3,2021,,2350000,
8757349,Nonthaburi,Bang Yai,Sao Thong Hin,ถนนรัตนาธิเบศร์,Condo,1208.0,1.0,1.0,26,6.0,,13.8767385855,100.4136741449,2,,20.0,20,2018,October,1800000,69230.76923076923
10884527,Samut Prakan,Bang Phli,Racha Thewa,Lat Krabang Road,Detached House,1337.0,3.0,3.0,153,2.0,232.0,13.714717,100.7251718,0,7.0,12.0,10,2018,December,6940000,
10872664,Bangkok,Khlong Toei,Phra Khanong,Sukhumvit Road,Condo,837.0,1.0,1.0,28,8.0,,13.7109650149,100.5938943245,2,,17.0,18,2013,December,2000000,71428.57142857143
11028495,Bangkok,Phaya Thai,Sam Sen Nai,308/1 ถนนพหลโยธิน แขวงสามเสนใน เขตพญาไท กทม.,Condo,611.0,2.0,1.0,45,25.0,,13.778127,100.544313,3,,9.0,14,2022,August,9900000,220000.0
10917428,Bangkok,Ratchathewi,Thanon Phaya Thai,Phayathai Road,Condo,690.0,2.0,2.0,60,29.0,,13.754455,100.534634,3,,20.0,20,2013,July,5360000,89333.33333333333
10714759,Nonthaburi,Mueang Nonthaburi,Bang Kraso,Rattanathibet Road,Condo,697.0,1.0,1.0,31,7.0,,13.860403,100.508239,2,,9.0,8,2014,January,1290000,41612.903225806454
10912708,Bangkok,Bang Kapi,Hua Mak,Ramkhamhaeng Road,Condo,1114.0,1.0,1.0,29,8.0,,13.7508865786,100.6065421383,0,20.0,7.0,16,2012,,1700000,58620.68965517241
11028189,Samut Prakan,Mueang Samut Prakan,Samrong Nuea,Sukhumvit Road 113,Condo,404.0,1.0,1.0,28,6.0,,13.6349884735,100.6220159074,0,8.0,8.0,3,2013,January,1290000,46071.42857142857
10997376,Bangkok,Bang Na,Bang Na,Soi Sanphawut 2 Road,Condo,1745.0,1.0,1.0,31,8.0,,13.6757298092,100.604101129,2,,7.0,5,2017,January,1060000,34193.54838709677
10989309,Nonthaburi,Sai Noi,Sai Noi,Sai Noi,Townhouse,,3.0,2.0,100,2.0,64.0,13.9874375,100.3221719,0,4.0,4.0,2,0,,1690000,
11032145,Bangkok,Bang Rak,ASHTON Silom,166 Silom Road,Condo,428.0,1.0,1.0,31,14.0,,13.726304,100.526875,3,,20.0,20,2016,May,7000000,225806.4516129032
10612114,Bangkok,Khlong Toei,Phra Khanong,"55 Soi Sukhumvit 36, Sukhumvit Road",Condo,496.0,1.0,1.0,33,6.0,,13.721547,100.576713,2,,15.0,20,2016,December,6400000,193939.39393939395
11011222,Bangkok,Bueng Kum,Khlong Kum,Khlong Kum,Townhouse,,2.0,2.0,100,2.0,72.0,13.8075625,100.6850469,0,20.0,6.0,6,0,,2600000,
11033060,Bangkok,Chatuchak,Chatuchak,6-1 Phong Phet Niwet Alley,Condo,1031.0,1.0,1.0,31,2.0,,13.8250776343,100.5455523087,1,20.0,2.0,6,2009,June,1190000,38387.096774193546
8219998,Bangkok,Bang Khen,Tha Raeng,43 Raminthra Road,Condo,825.0,1.0,1.0,30,4.0,,13.8534916212,100.6360918168,0,16.0,10.0,9,2012,January,1390000,46333.333333333336
8490549,Samut Prakan,Phra Pradaeng,Samrong,Soi Tesabansamrongtai 6,Townhouse,282.0,4.0,3.0,117,2.0,,13.656373,100.589627,0,,6.0,12,2020,,6900000,
10965853,Bangkok,Lat Phrao,Lat Phrao,Ladprao - Wang Hin Road,Condo,317.0,2.0,2.0,50,7.0,,13.826267,100.592026,0,7.0,10.0,9,2017,May,4400000,88000.0
11010714,Bangkok,Huai Khwang,Huai Khwang,"Soi Ratchadaphisek 10, Ratchadaphisek Road",Condo,1414.0,1.0,1.0,30,5.0,,13.771112,100.576049,2,,20.0,20,2013,June,1900000,63333.333333333336
10497485,Samut Prakan,Bang Phli,Nong Prue,Wat Sri Waree Noi Road,Detached House,242.0,3.0,2.0,120,2.0,152.0,13.646816,100.77324,0,,2.0,1,0,,3100000,
10541003,Nonthaburi,Mueang Nonthaburi,Bang Khen,ประชาชื่น ประชาชื่น,Condo,306.0,1.0,1.0,37,2.0,,13.865726,100.546915,0,12.0,6.0,6,2012,June,2050000,55405.40540540541
10611830,Bangkok,Khlong Toei,Khlong Tan,"68 Sukhumvit 24 Alley, Khong Tan",Condo,940.0,1.0,1.0,33,26.0,,13.7253952835,100.5656595582,2,,20.0,20,2017,January,6390000,193636.36363636365
8453528,Bangkok,Huai Khwang,Bang Kapi,2898 Petchaburi Road,Condo,281.0,1.0,1.0,35,22.0,,13.744085,100.587193,0,20.0,11.0,13,2015,February,3950000,112857.14285714286
10629166,Nonthaburi,Mueang Nonthaburi,Bang Kraso,26/1  Rattanathibet Road,Condo,1232.0,2.0,1.0,52,22.0,,13.8637736562,100.5010689973,2,,14.0,15,2011,June,2000000,38461.53846153846
10794789,Nonthaburi,Pak Kret,Pak Kret,. ซอยแจ้งวัฒนะ-ปากเกร็ด 9/1 ปากเกร็ด นนทบุรี,Condo,79.0,1.0,1.0,35,4.0,,13.910562,100.502337,0,20.0,8.0,10,2013,June,2600000,74285.71428571429
11015195,Bangkok,Phra Khanong,Bang Chak,Soi Sukhumvit 81 Sukhumvit Road,Condo,146.0,2.0,2.0,53,7.0,,13.705547,100.603711,2,,8.0,14,2009,,3900000,73584.90566037736
10536018,Nonthaburi,Bang Kruai,Plai Bang,ถนนโยธาธิการ,Townhouse,,3.0,2.0,95,2.0,104.0,13.8176375,100.7149219,0,20.0,9.0,9,0,,2500000,
10927996,Bangkok,Suan Luang,Suan Luang,"Soi Phatthanakan 26, Phatthanakan Road",Condo,1482.0,1.0,1.0,26,3.0,,13.736117212,100.6169253619,0,20.0,9.0,5,2012,June,1500000,57692.307692307695
10918297,Bangkok,Bang Sue,Bang Sue,. ถนนประชาราษฎร์ สาย 1 แขวงบางซื่อ เขตบางซื่อ กทม.,Condo,615.0,1.0,1.0,22,11.0,,13.812272,100.520709,1,,6.0,4,2019,June,2000000,90909.09090909091
10946373,Bangkok,Khlong Sam Wa,Bang Chan,Bang Chun,Detached House,,3.0,2.0,120,2.0,124.0,13.8423125,100.7133125,0,3.0,4.0,4,0,,2900000,
10999275,Samut Prakan,Mueang Samut Prakan,Samrong Nuea,Sukhumvit 107 Road,Condo,1113.0,2.0,1.0,40,3.0,,13.65832,100.606151,1,,8.0,7,2019,August,1990000,49750.0
10846249,Bangkok,Khlong Toei,Phra Khanong,19 Soi Sukhumvit 36 Thonglor Road,Condo,130.0,1.0,1.0,35,6.0,,13.72307,100.577204,2,,18.0,20,2017,January,6600000,188571.42857142858
11030925,Bangkok,Khlong Toei,Phra Khanong,Soi Sukhumvit 48,Condo,612.0,1.0,1.0,40,9.0,,13.711724,100.594785,2,,20.0,17,2018,December,5900000,147500.0
8734102,Bangkok,Khan Na Yao,Khan Na Yao,Kanchanaphisek Road,Detached House,296.0,3.0,3.0,180,2.0,260.0,13.834605,100.676027,0,13.0,7.0,11,0,,7400000,
10919479,Bangkok,Khlong Toei,Phra Khanong,Soi Sukhumvit 48,Condo,612.0,1.0,1.0,41,18.0,,13.711724,100.594785,2,,20.0,17,2018,December,4700000,114634.14634146342
10125350,Bangkok,Khlong San,Khlong Ton Sai,543 Taksin Road,Condo,593.0,1.0,1.0,38,31.0,,13.7213126924,100.50685259790001,3,,12.0,20,2013,June,3790000,99736.84210526316
10973543,Bangkok,Bangkok Noi,Bang Khun Si,ถนนพระเทพฯ พรานนก-พุทธมลฑลสาย 4 แขวงบางขุนศรี บางกอกน้อย กทม. Noi,Condo,366.0,1.0,1.0,35,18.0,,13.754026,100.466757,1,,10.0,9,2019,September,2690000,76857.14285714286
10477695,Samut Prakan,Bang Phli,Racha Thewa,Lat Krabang Road,Detached House,1337.0,3.0,5.0,220,2.0,244.0,13.714717,100.7251718,0,7.0,12.0,10,2018,December,9800000,
10981542,Nonthaburi,Bang Bua Thong,Bang Bua Thong,Bang Bua Thong,Townhouse,,3.0,2.0,64,2.0,64.0,13.9025625,100.3680625,0,,3.0,2,0,,1490000,
10606693,Bangkok,Din Daeng,Din Daeng,Dindaeng Road,Condo,500.0,2.0,1.0,75,10.0,,13.756137,100.560813,3,,8.0,20,2012,March,6200000,82666.66666666667
10977196,Nonthaburi,Mueang Nonthaburi,Bang Kraso,ซอยนนทบุรี 15 Sanam Bin Nam Road,Condo,2351.0,2.0,2.0,50,46.0,,13.87393,100.478563,1,,4.0,2,2019,June,5500000,110000.0
10918106,Bangkok,Phra Khanong,Bang Chak,2097 Sukhumvit Road,Condo,940.0,1.0,1.0,30,20.0,,13.7044772772,100.6024978271,2,,6.0,11,2013,December,3590000,119666.66666666667
10876457,Bangkok,Phaya Thai,Sam Sen Nai,Pradipat,Condo,450.0,1.0,1.0,38,22.0,,13.791898,100.539143,0,20.0,3.0,6,2017,November,3070000,80789.47368421052
10938220,Samut Prakan,Mueang Samut Prakan,Samrong Nuea,ซอยสุขุมวิท 113 ถนนสุขุมวิท ตำบลสำโรงเหนือ อำเภอเมือง สมุทรปราการ,Condo,336.0,1.0,1.0,28,4.0,,13.647505,100.600838,1,20.0,15.0,20,2018,October,1590000,56785.71428571428
